company,dividend_date,dividend_per_share,share_price_on_dividend_date
OIL,2022-09-15,3.33,109.56
OIL,2022-11-21,3.0,118.75
OIL,2023-02-22,6.67,154.04
OIL,2023-08-25,3.67,178.5
OIL,2023-11-22,2.33,193.93
OIL,2024-03-18,5.67,353.61
OIL,2024-08-30,2.5,723.37
OIL,2024-11-14,3.0,467.05
OIL,2025-02-17,7.0,400.55
OLECTRA,2022-09-20,0.4,618.75
OLECTRA,2023-09-21,0.4,1216.81
OLECTRA,2024-09-19,0.4,1661.3
ONGC,2015-09-07,0.33,91.34
ONGC,2015-11-10,3.0,97.4
ONGC,2016-03-16,0.5,85.28
ONGC,2016-08-31,2.17,98.92
ONGC,2016-11-03,3.0,113.85
ONGC,2017-02-07,2.25,124.79
ONGC,2017-09-21,0.8,107.61
ONGC,2017-11-03,3.0,126.46
ONGC,2018-03-13,2.25,122.53
ONGC,2018-09-19,1.35,119.04
ONGC,2019-02-28,5.25,103.65
ONGC,2019-03-26,1.0,112.31
ONGC,2019-08-22,0.75,82.58
ONGC,2020-03-23,5.0,45.81
ONGC,2021-02-17,1.75,78.89
ONGC,2021-09-08,1.85,93.21
ONGC,2021-11-22,5.5,119.08
ONGC,2022-02-21,1.75,134.17
ONGC,2022-08-18,3.25,113.96
ONGC,2022-11-21,6.75,119.57
ONGC,2023-02-24,4.0,140.46
ONGC,2023-08-18,0.5,159.3
ONGC,2023-11-21,5.75,178.95
ONGC,2024-02-16,4.0,260.86
ONGC,2024-08-23,2.5,305.19
ONGC,2024-11-19,6.0,243.16
ONGC,2025-02-07,5.0,248.9
PAGEIND,2015-11-16,21.0,11288.99
PAGEIND,2016-02-17,21.0,9728.74
PAGEIND,2016-05-31,22.0,12701.23
PAGEIND,2016-08-03,24.0,12876.37
PAGEIND,2016-11-17,25.0,12027.09
PAGEIND,2017-02-16,25.0,13278.48
PAGEIND,2017-06-01,26.0,13229.85
PAGEIND,2017-08-02,25.0,15728.18
PAGEIND,2017-11-16,35.0,22456.09
PAGEIND,2018-02-15,35.0,20991.23
PAGEIND,2018-05-31,35.0,23527.29
PAGEIND,2018-08-23,41.0,32349.73
PAGEIND,2018-11-20,41.0,25852.67
PAGEIND,2019-02-21,41.0,19946.76
PAGEIND,2019-05-30,41.0,18171.57
PAGEIND,2019-08-19,51.0,17158.96
PAGEIND,2019-11-21,52.0,20937.56
PAGEIND,2020-02-18,58.0,21572.41
PAGEIND,2020-11-19,100.0,20832.02
PAGEIND,2021-02-17,150.0,27050.23
PAGEIND,2021-08-18,50.0,29501.49
PAGEIND,2021-11-17,150.0,39351.82
PAGEIND,2022-02-17,100.0,40670.36
PAGEIND,2022-06-02,70.0,42000.93
PAGEIND,2022-08-18,60.0,48321.83
PAGEIND,2022-11-17,70.0,44395.49
PAGEIND,2023-02-17,60.0,37657.06
PAGEIND,2023-06-02,60.0,37414.4
PAGEIND,2023-08-18,75.0,39165.46
PAGEIND,2023-11-17,75.0,36513.11
PAGEIND,2024-02-16,100.0,35487.24
PAGEIND,2024-05-31,120.0,35220.62
PAGEIND,2024-08-16,300.0,40409.88
PAGEIND,2024-11-14,250.0,45026.94
PAGEIND,2025-02-13,150.0,41505.25
PAGEIND,2025-05-21,200.0,47620.0
PATANJALI,2015-09-16,16.0,3367.64
PATANJALI,2022-09-23,5.0,1421.92
PATANJALI,2023-09-21,6.0,1274.34
PATANJALI,2024-03-21,6.0,1363.8
PATANJALI,2024-11-04,8.0,1791.4
PCBL,2016-07-13,0.25,14.11
PCBL,2017-03-09,0.6,22.91
PCBL,2017-11-07,0.6,85.11
PCBL,2018-07-18,0.6,83.59
PCBL,2019-01-28,1.75,66.01
PCBL,2020-02-25,1.75,51.47
PCBL,2021-02-01,3.5,89.35
PCBL,2022-02-01,5.0,106.57
PCBL,2023-02-10,5.5,114.03
PCBL,2024-01-29,5.5,318.52
PCBL,2025-01-16,5.5,366.4
PEL,2016-03-17,16.98,438.71
PEL,2017-07-21,20.38,1380.12
PEL,2018-07-19,24.4,1221.83
PEL,2019-07-18,27.33,986.41
PEL,2020-07-16,14.0,709.18
PEL,2021-07-06,33.0,1242.61
PEL,2022-07-14,33.0,911.15
PEL,2023-06-16,31.0,766.7
PEL,2024-07-05,10.0,926.28
PEL,2025-06-13,11.0,1132.6
PERSISTENT,2016-02-02,2.5,299.82
PERSISTENT,2016-03-17,1.5,295.53
PERSISTENT,2017-01-31,3.0,271.3
PERSISTENT,2017-07-12,1.5,302.44
PERSISTENT,2018-02-02,3.5,362.75
PERSISTENT,2018-07-19,1.5,383.48
PERSISTENT,2019-02-04,4.0,300.89
PERSISTENT,2019-07-11,1.5,288.21
PERSISTENT,2020-02-06,4.5,337.64
PERSISTENT,2020-03-18,1.5,275.02
PERSISTENT,2021-02-09,7.0,828.01
PERSISTENT,2021-07-13,3.0,1338.7
PERSISTENT,2022-01-27,10.0,1985.6
PERSISTENT,2022-07-11,5.5,1608.68
PERSISTENT,2023-01-25,14.0,2264.1
PERSISTENT,2023-07-11,6.0,2331.06
PERSISTENT,2024-01-30,16.0,4152.8
PERSISTENT,2024-07-09,10.0,4610.01
PERSISTENT,2025-01-31,20.0,6016.38
PERSISTENT,2025-07-14,15.0,5605.0
PETRONET,2015-09-15,1.0,66.72
PETRONET,2016-09-12,1.25,127.58
PETRONET,2017-09-07,2.5,176.76
PETRONET,2018-09-06,4.5,190.03
PETRONET,2018-11-15,5.5,174.35
PETRONET,2019-08-19,4.5,197.91
PETRONET,2020-07-15,7.0,219.18
PETRONET,2020-11-23,8.0,223.03
PETRONET,2021-07-01,3.5,200.31
PETRONET,2022-07-04,4.5,200.07
PETRONET,2023-08-18,3.0,203.44
PETRONET,2023-11-10,7.0,187.21
PETRONET,2024-07-12,3.0,328.89
PETRONET,2024-11-08,7.0,325.62
PETRONET,2025-07-04,3.0,299.75
PFC,2015-09-15,0.24,48.61
PFC,2015-12-23,3.52,47.92
PFC,2016-02-16,1.8,34.15
PFC,2016-08-11,0.24,51.85
PFC,2017-03-30,4.0,70.3
PFC,2017-11-10,4.8,65.26
PFC,2018-03-06,1.44,51.91
PFC,2020-02-28,7.6,62.1
PFC,2021-03-19,6.4,74.6
PFC,2021-07-01,1.6,74.82
PFC,2021-08-31,1.8,80.57
PFC,2021-11-24,2.0,79.05
PFC,2022-02-25,4.8,73.0
PFC,2022-06-09,1.0,73.91
PFC,2022-09-01,1.8,81.5
PFC,2022-11-24,2.4,91.79
PFC,2023-02-24,2.8,105.38
PFC,2023-06-16,3.6,146.82
PFC,2023-11-24,4.5,297.44
PFC,2024-02-20,3.5,405.7
PFC,2024-03-22,3.0,375.82
PFC,2024-07-26,2.5,519.64
PFC,2024-08-30,3.25,532.98
PFC,2024-11-25,3.5,470.43
PFC,2025-02-28,3.5,359.25
PFC,2025-03-19,3.5,401.91
PFC,2025-06-13,2.05,406.45
PFIZER,2016-06-27,15.0,1750.37
PFIZER,2017-08-22,15.0,1667.02
PFIZER,2018-08-29,20.0,3466.11
PFIZER,2019-08-01,22.5,2868.99
PFIZER,2020-08-27,10.0,4633.52
PFIZER,2021-08-11,30.0,5544.71
PFIZER,2022-08-18,35.0,4104.73
PFIZER,2022-09-19,30.0,4026.0
PFIZER,2023-08-11,35.0,3918.16
PFIZER,2024-08-21,35.0,5939.66
PFIZER,2025-07-09,35.0,5669.0
PGEL,2024-09-23,0.2,612.0
PHOENIXLTD,2015-09-02,1.1,159.12
PHOENIXLTD,2016-03-17,0.88,161.24
PHOENIXLTD,2016-08-31,0.22,194.01
PHOENIXLTD,2017-09-18,1.2,244.42
PHOENIXLTD,2018-09-11,1.3,295.56
PHOENIXLTD,2019-09-17,1.5,345.08
PHOENIXLTD,2021-09-16,0.5,430.75
PHOENIXLTD,2022-09-12,1.2,702.33
PHOENIXLTD,2023-09-15,2.5,924.25
PHOENIXLTD,2024-08-20,2.5,1790.1
PIDILITIND,2015-08-14,2.9,548.63
PIDILITIND,2016-03-18,3.65,566.68
PIDILITIND,2016-08-24,0.5,665.81
PIDILITIND,2017-08-23,4.75,784.67
PIDILITIND,2018-08-21,6.0,1105.16
PIDILITIND,2019-07-29,6.5,1205.88
PIDILITIND,2020-03-13,7.0,1487.57
PIDILITIND,2021-07-27,8.5,2254.2
PIDILITIND,2022-07-26,10.0,2283.44
PIDILITIND,2023-07-27,11.0,2571.99
PIDILITIND,2024-07-24,16.0,3087.71
PIDILITIND,2025-07-23,20.0,2918.9
PIIND,2015-09-08,1.3,636.85
PIIND,2015-11-17,1.2,619.63
PIIND,2016-03-22,1.9,556.91
PIIND,2016-11-16,1.5,771.28
PIIND,2017-08-30,2.5,703.76
PIIND,2017-11-09,1.5,795.57
PIIND,2018-07-30,2.5,795.14
PIIND,2018-11-09,2.5,833.9
PIIND,2019-08-29,1.5,1084.05
PIIND,2020-02-24,3.0,1523.27
PIIND,2020-09-17,1.0,2005.8
PIIND,2021-02-11,3.0,2203.68
PIIND,2021-09-06,2.0,3374.64
PIIND,2022-02-14,3.0,2517.41
PIIND,2022-08-25,3.0,3370.6
PIIND,2023-02-24,4.5,3093.04
PIIND,2023-08-11,5.5,3829.59
PIIND,2024-02-21,6.0,3668.5
PIIND,2024-08-20,9.0,4319.2
PIIND,2025-02-14,6.0,3162.8
PNB,2022-06-22,0.64,27.78
PNB,2023-06-23,0.65,48.5
PNB,2024-06-21,1.5,122.26
PNB,2025-06-20,2.9,103.04
PNBHOUSING,2017-07-25,4.97,1217.58
PNBHOUSING,2018-07-19,7.45,1008.22
PNBHOUSING,2019-07-19,7.45,609.09
PNBHOUSING,2025-08-01,5.0,808.45
PNCINFRA,2015-09-18,0.3,93.76
PNCINFRA,2016-09-22,0.5,119.52
PNCINFRA,2017-09-21,0.5,131.79
PNCINFRA,2018-09-19,0.5,148.56
PNCINFRA,2019-09-20,0.5,183.43
PNCINFRA,2020-03-19,0.5,115.51
PNCINFRA,2021-09-21,0.5,353.59
PNCINFRA,2022-09-21,0.5,270.61
PNCINFRA,2023-09-22,0.5,370.09
PNCINFRA,2024-09-20,0.6,432.5
POLYCAB,2019-06-18,3.0,569.04
POLYCAB,2020-03-12,7.0,851.3
POLYCAB,2021-07-12,10.0,1891.73
POLYCAB,2022-06-21,14.0,2083.0
POLYCAB,2023-06-21,20.0,3383.75
POLYCAB,2024-07-09,30.0,6418.23
POLYCAB,2025-06-24,35.0,6343.5
POLYMED,2015-09-18,1.25,173.67
POLYMED,2016-03-17,1.25,141.13
POLYMED,2016-09-19,0.25,189.18
POLYMED,2016-11-11,0.5,188.46
POLYMED,2017-02-15,0.5,245.3
POLYMED,2017-09-20,0.5,216.36
POLYMED,2018-09-18,2.0,211.54
POLYMED,2019-09-13,2.0,209.98
POLYMED,2020-02-27,2.0,297.24
POLYMED,2021-09-16,2.5,950.48
POLYMED,2022-09-16,2.5,929.93
POLYMED,2023-09-21,3.0,1411.96
POLYMED,2024-09-19,3.0,2465.3
POONAWALLA,2016-07-27,0.8,99.45
POONAWALLA,2017-07-25,0.8,165.56
POONAWALLA,2018-07-25,0.8,138.14
POONAWALLA,2019-07-24,0.8,79.8
POONAWALLA,2022-07-21,0.4,266.95
POONAWALLA,2023-07-18,2.0,369.43
POONAWALLA,2024-01-31,2.0,478.3
POWERGRID,2015-09-07,0.74,45.55
POWERGRID,2016-02-03,0.45,53.64
POWERGRID,2016-09-08,0.85,70.38
POWERGRID,2017-02-16,0.56,76.33
POWERGRID,2017-09-11,1.88,83.12
POWERGRID,2018-02-08,1.38,75.43
POWERGRID,2018-09-10,1.58,76.42
POWERGRID,2019-03-14,3.28,76.6
POWERGRID,2019-08-19,1.41,85.55
POWERGRID,2020-03-16,3.35,67.66
POWERGRID,2020-09-02,2.27,79.4
POWERGRID,2020-12-17,2.81,86.92
POWERGRID,2021-03-08,2.25,100.82
POWERGRID,2021-09-08,2.25,107.41
POWERGRID,2021-12-22,2.25,127.09
POWERGRID,2022-02-16,4.12,127.22
POWERGRID,2022-08-19,1.69,149.31
POWERGRID,2022-11-14,3.75,141.63
POWERGRID,2023-02-08,3.75,145.42
POWERGRID,2023-08-08,3.56,168.89
POWERGRID,2023-11-16,4.0,196.95
POWERGRID,2024-02-15,4.5,272.19
POWERGRID,2024-08-16,2.75,329.95
POWERGRID,2024-11-14,4.5,308.49
POWERGRID,2025-02-07,3.25,278.15
POWERINDIA,2021-05-19,2.0,1696.21
POWERINDIA,2022-07-14,3.0,3477.22
POWERINDIA,2023-08-10,3.4,4447.29
POWERINDIA,2024-08-14,4.0,11120.65
PPLPHARMA,2024-07-12,0.11,151.0
PPLPHARMA,2025-07-16,0.14,214.86
PRAJIND,2016-03-17,1.62,72.84
PRAJIND,2017-08-02,1.62,67.25
PRAJIND,2018-07-27,1.62,72.82
PRAJIND,2019-07-15,1.62,114.78
PRAJIND,2020-03-13,2.7,61.25
PRAJIND,2021-08-03,2.16,367.42
PRAJIND,2022-07-27,2.7,378.69
PRAJIND,2023-07-19,4.5,414.98
PRAJIND,2024-07-18,6.0,693.02
PREMIERENE,2025-02-14,0.5,961.57
PREMIERENE,2025-08-01,0.25,1010.3
PRESTIGE,2015-09-23,1.5,198.8
PRESTIGE,2016-03-30,1.2,167.2
PRESTIGE,2017-09-19,1.2,272.5
PRESTIGE,2018-09-10,1.2,219.21
PRESTIGE,2019-09-17,1.5,270.55
PRESTIGE,2020-03-19,1.5,157.73
PRESTIGE,2021-09-17,1.5,407.87
PRESTIGE,2022-09-19,1.5,457.75
PRESTIGE,2023-09-14,1.5,630.1
PRESTIGE,2024-09-23,1.8,1892.4
RADICO,2015-09-23,0.8,81.15
RADICO,2016-07-04,0.8,91.44
RADICO,2017-09-21,0.8,161.5
RADICO,2018-08-24,1.0,422.4
RADICO,2019-09-19,1.2,301.03
RADICO,2020-08-21,2.0,399.16
RADICO,2021-09-20,2.4,923.21
RADICO,2022-09-21,3.0,1106.6
RADICO,2023-09-14,3.0,1213.17
RADICO,2024-07-25,3.0,1737.08
RADICO,2025-07-24,4.0,2726.3
RAILTEL,2021-03-31,1.0,118.9
RAILTEL,2021-09-21,1.2,124.0
RAILTEL,2022-01-20,1.75,113.97
RAILTEL,2022-09-22,0.65,104.05
RAILTEL,2023-02-08,1.5,109.85
RAILTEL,2023-08-24,1.05,166.21
RAILTEL,2023-11-03,1.0,229.61
RAILTEL,2024-08-14,1.85,461.83
RAILTEL,2024-11-06,1.0,417.36
RAILTEL,2025-04-02,1.0,307.1
RAINBOW,2022-09-07,2.0,606.92
RAINBOW,2023-06-22,3.0,960.31
RAINBOW,2024-07-23,3.0,1119.92
RAINBOW,2025-06-27,3.0,1513.2
RAMCOCEM,2016-03-18,3.0,390.3
RAMCOCEM,2017-07-27,3.0,642.27
RAMCOCEM,2018-07-26,3.0,706.66
RAMCOCEM,2019-07-31,3.0,724.66
RAMCOCEM,2020-03-11,2.5,688.59
RAMCOCEM,2021-03-22,3.0,965.47
RAMCOCEM,2022-08-02,3.0,728.79
RAMCOCEM,2023-08-03,2.0,868.36
RAMCOCEM,2024-08-09,2.5,799.75
RAYMOND,2016-05-26,3.0,442.22
RAYMOND,2017-05-25,1.25,667.69
RAYMOND,2018-05-22,3.0,1001.07
RAYMOND,2019-05-23,3.0,793.89
RAYMOND,2022-06-30,3.0,872.44
RAYMOND,2023-06-23,3.0,1663.1
RAYMOND,2024-06-13,10.0,2521.2
RBLBANK,2017-07-27,1.8,522.24
RBLBANK,2018-07-26,2.1,552.46
RBLBANK,2019-07-01,2.7,634.23
RBLBANK,2020-03-23,1.5,139.22
RBLBANK,2023-08-18,1.5,214.39
RBLBANK,2024-07-26,1.5,235.85
RCF,2015-08-18,1.8,43.2
RCF,2016-09-15,1.1,37.66
RCF,2017-09-13,1.1,79.42
RCF,2018-09-18,0.6,57.84
RCF,2019-09-16,0.77,39.13
RCF,2020-12-22,2.84,44.55
RCF,2021-02-17,1.2,48.1
RCF,2021-10-20,1.78,74.39
RCF,2021-11-24,1.35,70.34
RCF,2022-12-15,4.1,136.71
RCF,2023-12-13,3.7,158.28
RCF,2024-09-23,1.24,187.63
RECLTD,2015-09-09,1.01,43.22
RECLTD,2016-02-17,4.5,30.02
RECLTD,2016-08-22,1.91,44.14
RECLTD,2017-02-27,5.25,60.23
RECLTD,2017-09-14,1.99,68.12
RECLTD,2018-02-15,5.55,60.73
RECLTD,2018-09-17,1.31,49.14
RECLTD,2019-03-11,8.25,62.63
RECLTD,2020-02-11,8.25,71.3
RECLTD,2020-11-13,4.5,61.08
RECLTD,2021-03-18,3.75,77.31
RECLTD,2021-08-13,1.5,81.46
RECLTD,2021-09-16,1.28,87.63
RECLTD,2021-11-11,1.88,85.37
RECLTD,2022-02-15,4.5,77.21
RECLTD,2022-07-12,3.6,76.91
RECLTD,2022-11-07,5.0,88.11
RECLTD,2023-02-09,3.25,104.59
RECLTD,2023-07-14,4.35,146.79
RECLTD,2023-08-14,3.0,206.19
RECLTD,2023-11-13,3.5,312.9
RECLTD,2024-03-28,4.5,427.46
RECLTD,2024-06-28,5.0,502.77
RECLTD,2024-08-09,3.5,565.01
RECLTD,2024-11-08,4.0,499.13
RECLTD,2025-02-14,4.3,383.94
RECLTD,2025-03-26,3.6,420.65
RECLTD,2025-08-01,4.6,388.7
REDINGTON,2016-07-19,1.05,37.69
REDINGTON,2017-02-14,1.0,40.3
REDINGTON,2017-07-20,1.15,57.37
REDINGTON,2018-07-20,1.2,44.63
REDINGTON,2019-07-22,1.65,41.08
REDINGTON,2019-12-03,0.75,45.41
REDINGTON,2020-03-03,1.4,45.91
REDINGTON,2021-07-16,3.8,141.77
REDINGTON,2022-07-14,6.6,112.55
REDINGTON,2023-07-07,7.2,179.59
REDINGTON,2024-07-05,6.2,210.75
REDINGTON,2025-07-04,6.8,312.0
RELIANCE,2016-03-17,2.6,223.52
RELIANCE,2017-07-13,2.72,337.52
RELIANCE,2018-06-27,2.97,431.21
RELIANCE,2019-08-02,3.22,531.94
RELIANCE,2020-07-02,3.25,801.39
RELIANCE,2021-06-11,3.5,1011.03
RELIANCE,2022-08-18,4.0,1219.73
RELIANCE,2023-08-21,4.5,1255.74
RELIANCE,2024-08-19,5.0,1488.4
RHIM,2015-09-04,1.4,75.3
RHIM,2016-09-12,1.45,102.27
RHIM,2017-09-08,2.5,151.78
RHIM,2018-08-24,2.5,223.87
RHIM,2019-06-28,2.5,196.67
RHIM,2020-08-07,2.5,169.57
RHIM,2021-09-17,2.5,368.15
RHIM,2022-09-14,2.5,627.71
RHIM,2023-09-14,2.5,755.46
RHIM,2024-09-05,2.5,601.7
RITES,2018-09-11,0.8,75.99
RITES,2018-12-27,1.9,81.64
RITES,2019-03-20,1.6,78.37
RITES,2019-07-10,1.6,87.33
RITES,2020-01-09,3.0,118.35
RITES,2020-02-17,2.0,122.6
RITES,2020-08-19,3.0,103.79
RITES,2021-01-08,2.5,112.25
RITES,2021-03-18,2.0,102.98
RITES,2021-08-18,1.0,111.53
RITES,2021-09-20,2.0,117.98
RITES,2021-11-24,2.0,121.85
RITES,2022-03-24,3.75,117.19
RITES,2022-08-04,2.0,120.7
RITES,2022-09-08,1.75,138.32
RITES,2022-11-17,2.25,178.09
RITES,2023-02-17,3.0,158.31
RITES,2023-08-07,1.88,217.49
RITES,2023-09-08,3.0,263.01
RITES,2023-11-08,2.25,218.01
RITES,2024-02-09,2.38,383.53
RITES,2024-08-08,1.25,337.78
RITES,2024-09-20,2.5,368.05
RITES,2024-11-14,1.75,270.89
RITES,2025-01-31,1.9,260.85
RKFORGE,2015-09-03,0.4,125.16
RKFORGE,2016-09-15,0.4,73.27
RKFORGE,2017-09-07,0.2,111.52
RKFORGE,2018-09-12,0.2,124.99
RKFORGE,2019-08-29,0.3,59.53
RKFORGE,2021-08-05,0.1,182.64
RKFORGE,2021-10-21,0.1,238.44
RKFORGE,2022-01-28,0.1,185.08
RKFORGE,2022-07-28,0.5,176.74
RKFORGE,2022-09-08,0.2,201.59
RKFORGE,2022-11-01,0.5,233.73
RKFORGE,2023-01-31,0.5,273.05
RKFORGE,2023-05-09,0.5,338.81
RKFORGE,2023-10-30,1.0,628.44
RKFORGE,2024-05-10,1.0,691.73
RKFORGE,2024-10-31,1.0,919.32
RKFORGE,2025-06-06,1.0,656.75
ROUTE,2021-07-15,2.0,2073.14
ROUTE,2022-02-07,3.0,1708.63
ROUTE,2022-07-14,2.0,1271.43
ROUTE,2022-11-01,3.0,1291.01
ROUTE,2023-02-07,6.0,1155.86
ROUTE,2023-08-04,3.0,1457.87
ROUTE,2023-09-06,2.0,1525.09
ROUTE,2023-11-03,3.0,1536.95
ROUTE,2024-02-01,3.0,1562.15
ROUTE,2024-07-11,2.0,1750.55
ROUTE,2024-10-29,6.0,1499.18
ROUTE,2025-01-31,3.0,1193.17
ROUTE,2025-07-23,3.0,932.8
RPOWER,2015-11-19,1.0,48.15
RRKABEL,2023-11-17,3.0,1626.05
RRKABEL,2024-07-26,3.0,1751.69
RRKABEL,2024-10-31,2.5,1502.69
RRKABEL,2025-07-14,3.5,1369.2
RVNL,2019-09-06,0.09,20.37
RVNL,2020-12-08,1.14,20.43
RVNL,2021-04-08,1.14,26.78
RVNL,2021-11-30,0.44,30.82
RVNL,2022-03-24,1.58,33.63
RVNL,2022-09-22,0.25,34.99
RVNL,2023-04-06,1.77,73.45
RVNL,2023-09-20,0.36,162.82
RVNL,2024-09-23,2.11,534.05
SAIL,2015-08-11,0.25,49.11
SAIL,2019-08-22,0.5,25.83
SAIL,2021-02-04,1.0,56.28
SAIL,2021-09-20,1.8,93.86
SAIL,2021-11-09,4.0,113.06
SAIL,2022-03-28,2.5,93.79
SAIL,2022-07-28,2.25,71.44
SAIL,2023-03-24,1.0,80.66
SAIL,2023-09-20,0.5,93.88
SAIL,2024-02-20,1.0,129.34
SAIL,2024-09-19,1.0,126.54
SAMMAANCAP,2015-11-02,8.02,487.06
SAMMAANCAP,2016-02-01,8.02,484.12
SAMMAANCAP,2016-03-18,8.02,424.46
SAMMAANCAP,2016-08-05,8.02,559.12
SAMMAANCAP,2016-11-02,8.02,590.75
SAMMAANCAP,2017-02-09,8.02,587.59
SAMMAANCAP,2017-05-04,8.02,777.67
SAMMAANCAP,2017-08-02,8.02,869.93
SAMMAANCAP,2017-11-01,8.02,912.73
SAMMAANCAP,2018-02-01,12.48,1019.69
SAMMAANCAP,2018-05-02,8.91,968.32
SAMMAANCAP,2018-08-13,8.91,959.48
SAMMAANCAP,2018-10-25,8.91,525.03
SAMMAANCAP,2019-02-11,8.91,463.2
SAMMAANCAP,2019-05-07,8.91,533.14
SAMMAANCAP,2019-08-19,7.13,427.99
SAMMAANCAP,2019-11-18,6.24,172.11
SAMMAANCAP,2020-02-13,5.35,274.52
SAMMAANCAP,2021-05-28,8.02,195.47
SAMMAANCAP,2023-09-18,1.11,175.45
SAMMAANCAP,2024-09-20,2.0,163.44
SARDAEN,2016-03-17,0.2,8.41
SARDAEN,2017-08-16,0.4,33.88
SARDAEN,2018-08-23,0.5,36.03
SARDAEN,2019-08-14,0.5,16.39
SARDAEN,2020-09-10,0.5,23.82
SARDAEN,2021-08-18,0.75,73.36
SARDAEN,2022-05-05,0.75,118.66
SARDAEN,2023-09-08,0.75,238.81
SARDAEN,2024-08-30,1.0,351.65
SAREGAMA,2016-07-14,0.15,26.11
SAREGAMA,2017-07-20,0.15,33.01
SAREGAMA,2018-07-19,0.3,62.12
SAREGAMA,2019-07-11,0.3,50.02
SAREGAMA,2020-08-03,0.15,43.42
SAREGAMA,2021-04-05,2.0,159.62
SAREGAMA,2022-01-31,3.0,443.38
SAREGAMA,2023-02-02,3.0,326.16
SAREGAMA,2024-02-21,4.0,402.77
SAREGAMA,2025-02-14,4.5,486.75
SBICARD,2020-05-15,1.0,532.46
SBICARD,2022-03-30,2.5,860.15
SBICARD,2023-03-29,2.5,715.41
SBICARD,2024-03-28,2.5,680.52
SBICARD,2025-02-25,2.5,840.7
SBILIFE,2018-04-03,2.0,670.5
SBILIFE,2019-04-03,2.0,595.52
SBILIFE,2021-04-05,2.5,865.68
SBILIFE,2022-03-29,2.0,1094.62
SBILIFE,2023-03-16,2.5,1058.73
SBILIFE,2024-03-15,2.7,1497.15
SBILIFE,2025-03-07,2.7,1411.6
SBIN,2016-06-03,2.6,179.78
SBIN,2017-05-26,2.6,266.16
SBIN,2021-06-03,4.0,409.42
SBIN,2022-05-25,7.1,429.47
SBIN,2023-05-31,11.3,559.06
SBIN,2024-05-22,13.7,802.63
SBIN,2025-05-16,15.9,792.1
SCHAEFFLER,2016-04-13,2.0,753.61
SCHAEFFLER,2017-04-12,2.4,883.66
SCHAEFFLER,2018-04-09,3.4,1005.35
SCHAEFFLER,2019-04-22,4.0,1055.79
SCHAEFFLER,2020-06-19,7.0,691.39
SCHAEFFLER,2021-04-19,7.6,988.72
SCHAEFFLER,2022-04-19,16.0,1987.24
SCHAEFFLER,2023-04-11,24.0,3005.13
SCHAEFFLER,2024-04-19,26.0,3248.21
SCHAEFFLER,2025-04-23,28.0,3281.6
SCI,2020-09-09,0.75,56.26
SCI,2021-08-17,0.25,100.88
SCI,2022-09-22,0.33,118.42
SCI,2023-09-01,0.44,129.06
SCI,2024-09-06,0.5,256.5
SHREECEM,2015-11-05,14.0,11594.36
SHREECEM,2016-02-10,12.0,10002.52
SHREECEM,2016-03-17,12.0,11296.79
SHREECEM,2016-08-22,16.0,16585.02
SHREECEM,2017-07-21,24.0,17187.5
SHREECEM,2018-01-18,20.0,17924.24
SHREECEM,2018-07-20,30.0,16119.9
SHREECEM,2019-01-29,25.0,15091.94
SHREECEM,2019-07-31,35.0,19722.08
SHREECEM,2020-02-24,110.0,23414.53
SHREECEM,2021-07-22,60.0,27647.65
SHREECEM,2022-02-10,45.0,24902.67
SHREECEM,2022-07-13,45.0,19510.55
SHREECEM,2023-02-16,45.0,24875.59
SHREECEM,2023-06-01,55.0,24979.4
SHREECEM,2024-02-08,50.0,27214.25
SHREECEM,2024-07-23,55.0,28057.01
SHREECEM,2025-02-05,50.0,28346.75
SHREECEM,2025-07-21,60.0,31535.0
SHRIRAMFIN,2015-11-05,0.78,156.31
SHRIRAMFIN,2016-07-18,1.17,211.2
SHRIRAMFIN,2016-11-03,0.78,180.55
SHRIRAMFIN,2017-06-21,1.17,173.46
SHRIRAMFIN,2017-11-10,0.97,218.78
SHRIRAMFIN,2018-07-18,1.17,216.79
SHRIRAMFIN,2018-11-05,0.97,218.97
SHRIRAMFIN,2019-06-19,1.36,188.05
SHRIRAMFIN,2019-11-07,0.97,204.82
SHRIRAMFIN,2020-11-09,1.2,153.45
SHRIRAMFIN,2021-04-05,1.2,261.96
SHRIRAMFIN,2021-06-16,1.2,265.59
SHRIRAMFIN,2021-11-09,1.6,300.78
SHRIRAMFIN,2022-03-11,2.4,205.33
SHRIRAMFIN,2023-01-03,3.0,256.8
SHRIRAMFIN,2023-06-16,4.0,270.49
SHRIRAMFIN,2023-11-06,4.0,388.22
SHRIRAMFIN,2024-02-06,2.0,469.15
SHRIRAMFIN,2024-07-23,3.0,539.11
SHRIRAMFIN,2024-11-07,4.4,608.45
SHRIRAMFIN,2025-01-31,2.5,541.32
SHRIRAMFIN,2025-07-11,3.0,668.25
SHYAMMETL,2021-09-06,2.7,375.75
SHYAMMETL,2021-11-17,2.25,334.54
SHYAMMETL,2022-02-18,2.25,314.13
SHYAMMETL,2022-08-11,1.8,290.18
SHYAMMETL,2022-09-16,2.7,293.37
SHYAMMETL,2023-06-05,1.8,291.5
SHYAMMETL,2024-08-30,2.7,793.58
SHYAMMETL,2025-02-07,2.25,780.0
SHYAMMETL,2025-07-28,1.8,957.7
SIEMENS,2016-01-21,6.0,939.0
SIEMENS,2017-01-31,6.0,1110.2
